status,gid,email,date,deadline,progress,rating,count,_id,title,author,publisher,first_edition,ISBN,language,category,publication,comment
FALSE,,,,,,,,139,Fusion 360操作ガイド　　　　　　　ベーシック編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/2/26,978-4877833831,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,140,Fusion 360操作ガイド　　　　　　　ベーシック編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/2/26,978-4877833831,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,141,Fusion 360操作ガイド　　　　　　　ベーシック編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/2/26,978-4877833831,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,142,Fusion 360操作ガイド　　　　　　　ベーシック編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/2/26,978-4877833831,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,143,Fusion 360操作ガイド　　　　　　　ベーシック編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/2/26,978-4877833831,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,144,Fusion 360操作ガイド　　　　　　　ベーシック編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/2/26,978-4877833831,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,145,Fusion 360操作ガイド　　　　　　　アドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/3/1,978-4877833954,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,146,Fusion 360操作ガイド　　　　　　　アドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/3/1,978-4877833954,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,147,Fusion 360操作ガイド　　　　　　　アドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/3/1,978-4877833954,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,148,Fusion 360操作ガイド　　　　　　　アドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/3/1,978-4877833954,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,149,Fusion 360操作ガイド　スーパーアドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/11/1,978-4877833909,日本語,設計・ソフトウェア・DIY,単行本,
FALSE,,,,,,,,150,Fusion 360操作ガイド　スーパーアドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/11/1,978-4877833909,日本語,設計・ソフトウェア・DIY,単行本,
